 Teff =  2700.00  logg =  3.34  mixLengthPara =  0.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.00
         191
 
             z             p             T          n<H>            CH            CO           CH2           H2O           C2H            C2            C3            C4            C5          C2H2           HCO          H2CO           CH3           CH4           CO2          C2H4         C2H4O           C2O          C3O2            OH           HO2           HCN            CN           C2N          C2N2            NH           HNO           NH2            NO           NO2           N2O            H+            H-            C-          CHNO          CHO+           CN+           CN-           CNN           NCN           C2-          C4N2     HNO2(cis)      HNO2(tr)          HNO3           OH+           OH-          N2H2           NH3          H3O+          N2H4           NO+          NO2-           NO3          N2O3          N2O4          N2O5            O-           O2-            O3          CO2-           SI2           SI3           SIC          SI2C          SIC2           SIH          SIH4           SIN          SI2N           SIO          SIO2           AL+           ALH          HALO          ALOH         ALOH+         ALOH-         ALO2H           ALN           ALO          ALO+          ALO2         ALO2-          AL2O         AL2O+         AL2O2        AL202+           CAL           MGH          MGOH         MGOH+       MG(OH)2           MG+           MGN           MGO           ALS           CKN          NACN           COS
  3.465801E-03  3.419600E+00  7.334200E+02  5.682767E+13  3.042429E-24  1.525637E+10  4.672968E-15  9.995420E+09  3.066600E-18  6.080289E-38  3.882353E-38  3.381049E-53  1.200083E-56  8.987352E-07  2.222654E-06  7.347554E-02  3.165833E-04  2.209742E+05  3.875809E+07  3.196466E-06  2.285875E-21  1.302599E-20  2.049834E-18  1.066712E-04  9.468838E-25  2.171599E+00  1.926505E-15  3.291068E-26  6.023945E-18  3.938048E-15  4.898020E-17  1.629650E-07  1.404505E-10  1.325539E-28  2.044107E-19  3.156223E-69  2.262717E-14  1.750215E-41  2.701982E-04  3.930997E-43  1.248384E-89  2.628309E-11  1.497059E-34  9.285660E-24  1.712994E-32  5.026689E-38  1.530861E-26  2.163719E-26  3.763686E-45  2.021288E-73  1.489655E-14  6.796257E-18  3.807255E+03  3.226269E-33  5.446613E-21  5.210889E-53  3.749755E-23  3.391095E-54  6.592969E-62  1.883909E-80  1.000000E-99  1.648921E-26  7.751410E-37  4.287838E-50  8.474853E-11  6.293792E-26  2.939057E-34  2.392432E-32  5.719247E-25  3.658721E-27  1.548131E-11  8.551011E-06  5.928317E-14  1.155591E-20  3.188012E+06  2.887230E-02  3.855440E-22  3.102182E-02  2.343943E-08  3.706942E+07  5.920963E-22  1.740370E-10  1.119037E+06  2.135874E-17  2.717787E-04  7.920580E-49  1.111301E-08  1.724143E-09  6.098234E+07  1.672994E-24  3.408083E+03  3.084706E-43  1.421775E-28  7.607290E+03  6.769826E+05  1.895713E-27  1.740856E+07  2.824389E-21  2.442898E-07  3.190098E-05  4.229255E-02  5.237468E-02  2.026291E+00  1.493546E+04
  1.039714E-02  3.419600E+00  7.334200E+02  5.682767E+13  3.042435E-24  1.525637E+10  4.672976E-15  9.995401E+09  3.066611E-18  6.080312E-38  3.882375E-38  3.381075E-53  1.200095E-56  8.987387E-07  2.222654E-06  7.347554E-02  3.165839E-04  2.209746E+05  3.875801E+07  3.196479E-06  2.285880E-21  1.302601E-20  2.049838E-18  1.066710E-04  9.468802E-25  2.171603E+00  1.926508E-15  3.291081E-26  6.023968E-18  3.938048E-15  4.898011E-17  1.629650E-07  1.404502E-10  1.325534E-28  2.044103E-19  3.156222E-69  2.262718E-14  1.750219E-41  2.701982E-04  3.930995E-43  1.248386E-89  2.628314E-11  1.497062E-34  9.285678E-24  1.713001E-32  5.026727E-38  1.530855E-26  2.163711E-26  3.763664E-45  2.021283E-73  1.489653E-14  6.796257E-18  3.807255E+03  3.226261E-33  5.446613E-21  5.210877E-53  3.749742E-23  3.391076E-54  6.592931E-62  1.883895E-80  1.000000E-99  1.648918E-26  7.751383E-37  4.287813E-50  8.474840E-11  6.293816E-26  2.939073E-34  2.392441E-32  5.719279E-25  3.658742E-27  1.548134E-11  8.551027E-06  5.928328E-14  1.155596E-20  3.188012E+06  2.887225E-02  3.855437E-22  3.102181E-02  2.343937E-08  3.706933E+07  5.920947E-22  1.740366E-10  1.119032E+06  2.135874E-17  2.717781E-04  7.920558E-49  1.111296E-08  1.724136E-09  6.098217E+07  1.672989E-24  3.408067E+03  3.084691E-43  1.421777E-28  7.607257E+03  6.769784E+05  1.895701E-27  1.740842E+07  2.824376E-21  2.442887E-07  3.190078E-05  4.229235E-02  5.237481E-02  2.026295E+00  1.493540E+04
  2.425981E-02  3.419600E+00  7.334200E+02  5.682767E+13  3.042447E-24  1.525637E+10  4.672994E-15  9.995363E+09  3.066635E-18  6.080358E-38  3.882420E-38  3.381126E-53  1.200117E-56  8.987455E-07  2.222654E-06  7.347554E-02  3.165851E-04  2.209754E+05  3.875787E+07  3.196503E-06  2.285888E-21  1.302606E-20  2.049846E-18  1.066706E-04  9.468730E-25  2.171612E+00  1.926516E-15  3.291106E-26  6.024014E-18  3.938048E-15  4.897992E-17  1.629650E-07  1.404497E-10  1.325524E-28  2.044095E-19  3.156220E-69  2.262719E-14  1.750227E-41  2.701982E-04  3.930993E-43  1.248390E-89  2.628326E-11  1.497067E-34  9.285714E-24  1.713015E-32  5.026804E-38  1.530843E-26  2.163694E-26  3.763622E-45  2.021274E-73  1.489648E-14  6.796257E-18  3.807255E+03  3.226247E-33  5.446613E-21  5.210854E-53  3.749716E-23  3.391037E-54  6.592856E-62  1.883866E-80  1.000000E-99  1.648913E-26  7.751329E-37  4.287764E-50  8.474814E-11  6.293863E-26  2.939106E-34  2.392459E-32  5.719344E-25  3.658783E-27  1.548139E-11  8.551059E-06  5.928350E-14  1.155604E-20  3.188012E+06  2.887214E-02  3.855431E-22  3.102178E-02  2.343926E-08  3.706916E+07  5.920916E-22  1.740359E-10  1.119023E+06  2.135872E-17  2.717768E-04  7.920516E-49  1.111287E-08  1.724123E-09  6.098183E+07  1.672978E-24  3.408035E+03  3.084659E-43  1.421781E-28  7.607191E+03  6.769699E+05  1.895676E-27  1.740814E+07  2.824350E-21  2.442866E-07  3.190038E-05  4.229197E-02  5.237508E-02  2.026303E+00  1.493528E+04
  5.198515E-02  3.419600E+00  7.334200E+02  5.682767E+13  3.042470E-24  1.525637E+10  4.673030E-15  9.995287E+09  3.066681E-18  6.080451E-38  3.882509E-38  3.381229E-53  1.200163E-56  8.987592E-07  2.222654E-06  7.347554E-02  3.165875E-04  2.209771E+05  3.875757E+07  3.196552E-06  2.285906E-21  1.302616E-20  2.049862E-18  1.066698E-04  9.468586E-25  2.171628E+00  1.926530E-15  3.291156E-26  6.024106E-18  3.938048E-15  4.897955E-17  1.629650E-07  1.404486E-10  1.325504E-28  2.044080E-19  3.156215E-69  2.262722E-14  1.750243E-41  2.701982E-04  3.930988E-43  1.248398E-89  2.628350E-11  1.497079E-34  9.285784E-24  1.713044E-32  5.026957E-38  1.530820E-26  2.163662E-26  3.763536E-45  2.021256E-73  1.489639E-14  6.796258E-18  3.807255E+03  3.226218E-33  5.446613E-21  5.210807E-53  3.749664E-23  3.390960E-54  6.592706E-62  1.883809E-80  1.000000E-99  1.648903E-26  7.751222E-37  4.287667E-50  8.474761E-11  6.293958E-26  2.939173E-34  2.392496E-32  5.719474E-25  3.658867E-27  1.548151E-11  8.551124E-06  5.928395E-14  1.155622E-20  3.188012E+06  2.887192E-02  3.855418E-22  3.102172E-02  2.343904E-08  3.706881E+07  5.920852E-22  1.740345E-10  1.119004E+06  2.135868E-17  2.717742E-04  7.920430E-49  1.111268E-08  1.724096E-09  6.098114E+07  1.672957E-24  3.407970E+03  3.084597E-43  1.421789E-28  7.607058E+03  6.769530E+05  1.895626E-27  1.740757E+07  2.824297E-21  2.442823E-07  3.189958E-05  4.229121E-02  5.237562E-02  2.026319E+00  1.493504E+04
  1.074358E-01  3.419600E+00  7.334200E+02  5.682767E+13  3.042516E-24  1.525637E+10  4.673101E-15  9.995135E+09  3.066775E-18  6.080636E-38  3.882686E-38  3.381435E-53  1.200255E-56  8.987866E-07  2.222654E-06  7.347555E-02  3.165923E-04  2.209805E+05  3.875699E+07  3.196649E-06  2.285941E-21  1.302636E-20  2.049893E-18  1.066681E-04  9.468299E-25  2.171661E+00  1.926560E-15  3.291257E-26  6.024289E-18  3.938048E-15  4.897881E-17  1.629650E-07  1.404465E-10  1.325464E-28  2.044049E-19  3.156207E-69  2.262728E-14  1.750274E-41  2.701982E-04  3.930978E-43  1.248414E-89  2.628397E-11  1.497102E-34  9.285926E-24  1.713100E-32  5.027263E-38  1.530773E-26  2.163596E-26  3.763364E-45  2.021220E-73  1.489620E-14  6.796258E-18  3.807255E+03  3.226161E-33  5.446613E-21  5.210714E-53  3.749561E-23  3.390805E-54  6.592406E-62  1.883695E-80  1.000000E-99  1.648882E-26  7.751007E-37  4.287471E-50  8.474655E-11  6.294148E-26  2.939306E-34  2.392568E-32  5.719733E-25  3.659033E-27  1.548174E-11  8.551253E-06  5.928484E-14  1.155657E-20  3.188011E+06  2.887147E-02  3.855394E-22  3.102161E-02  2.343860E-08  3.706811E+07  5.920724E-22  1.740317E-10  1.118965E+06  2.135860E-17  2.717691E-04  7.920260E-49  1.111230E-08  1.724042E-09  6.097976E+07  1.672915E-24  3.407842E+03  3.084472E-43  1.421806E-28  7.606793E+03  6.769191E+05  1.895526E-27  1.740644E+07  2.824191E-21  2.442738E-07  3.189798E-05  4.228967E-02  5.237670E-02  2.026351E+00  1.493455E+04
  2.183372E-01  3.419600E+00  7.334200E+02  5.682767E+13  3.042609E-24  1.525637E+10  4.673244E-15  9.994832E+09  3.066962E-18  6.081007E-38  3.883041E-38  3.381847E-53  1.200437E-56  8.988414E-07  2.222654E-06  7.347556E-02  3.166020E-04  2.209872E+05  3.875581E+07  3.196844E-06  2.286011E-21  1.302676E-20  2.049956E-18  1.066649E-04  9.467724E-25  2.171728E+00  1.926619E-15  3.291457E-26  6.024656E-18  3.938048E-15  4.897732E-17  1.629650E-07  1.404422E-10  1.325383E-28  2.043987E-19  3.156190E-69  2.262740E-14  1.750337E-41  2.701982E-04  3.930957E-43  1.248445E-89  2.628491E-11  1.497147E-34  9.286209E-24  1.713214E-32  5.027876E-38  1.530680E-26  2.163464E-26  3.763022E-45  2.021148E-73  1.489583E-14  6.796258E-18  3.807255E+03  3.226046E-33  5.446613E-21  5.210529E-53  3.749353E-23  3.390496E-54  6.591805E-62  1.883466E-80  1.000000E-99  1.648841E-26  7.750578E-37  4.287081E-50  8.474444E-11  6.294527E-26  2.939571E-34  2.392713E-32  5.720252E-25  3.659366E-27  1.548221E-11  8.551511E-06  5.928663E-14  1.155726E-20  3.188010E+06  2.887059E-02  3.855345E-22  3.102138E-02  2.343771E-08  3.706671E+07  5.920470E-22  1.740260E-10  1.118889E+06  2.135844E-17  2.717589E-04  7.919919E-49  1.111154E-08  1.723934E-09  6.097701E+07  1.672831E-24  3.407585E+03  3.084223E-43  1.421839E-28  7.606264E+03  6.768514E+05  1.895326E-27  1.740417E+07  2.823979E-21  2.442568E-07  3.189479E-05  4.228661E-02  5.237885E-02  2.026416E+00  1.493358E+04
  4.401399E-01  3.419600E+00  7.334200E+02  5.682767E+13  3.042795E-24  1.525638E+10  4.673529E-15  9.994225E+09  3.067336E-18  6.081748E-38  3.883751E-38  3.382671E-53  1.200803E-56  8.989509E-07  2.222654E-06  7.347557E-02  3.166213E-04  2.210007E+05  3.875346E+07  3.197234E-06  2.286150E-21  1.302756E-20  2.050081E-18  1.066584E-04  9.466575E-25  2.171860E+00  1.926736E-15  3.291858E-26  6.025390E-18  3.938049E-15  4.897435E-17  1.629650E-07  1.404337E-10  1.325222E-28  2.043863E-19  3.156157E-69  2.262765E-14  1.750462E-41  2.701983E-04  3.930916E-43  1.248508E-89  2.628679E-11  1.497239E-34  9.286775E-24  1.713441E-32  5.029101E-38  1.530495E-26  2.163202E-26  3.762336E-45  2.021004E-73  1.489509E-14  6.796259E-18  3.807255E+03  3.225816E-33  5.446614E-21  5.210157E-53  3.748938E-23  3.389879E-54  6.590605E-62  1.883009E-80  1.000000E-99  1.648758E-26  7.749720E-37  4.286300E-50  8.474021E-11  6.295286E-26  2.940103E-34  2.393003E-32  5.721290E-25  3.660033E-27  1.548314E-11  8.552026E-06  5.929020E-14  1.155866E-20  3.188009E+06  2.886882E-02  3.855247E-22  3.102092E-02  2.343595E-08  3.706392E+07  5.919960E-22  1.740148E-10  1.118737E+06  2.135813E-17  2.717384E-04  7.919238E-49  1.111003E-08  1.723717E-09  6.097152E+07  1.672662E-24  3.407070E+03  3.083725E-43  1.421905E-28  7.605205E+03  6.767161E+05  1.894927E-27  1.739963E+07  2.823556E-21  2.442228E-07  3.188841E-05  4.228049E-02  5.238314E-02  2.026544E+00  1.493164E+04
  8.837454E-01  3.419600E+00  7.334200E+02  5.682767E+13  3.043165E-24  1.525638E+10  4.674098E-15  9.993014E+09  3.068082E-18  6.083229E-38  3.885169E-38  3.384318E-53  1.201534E-56  8.991697E-07  2.222655E-06  7.347560E-02  3.166598E-04  2.210276E+05  3.874877E+07  3.198012E-06  2.286430E-21  1.302915E-20  2.050332E-18  1.066455E-04  9.464280E-25  2.172124E+00  1.926971E-15  3.292660E-26  6.026857E-18  3.938049E-15  4.896842E-17  1.629650E-07  1.404167E-10  1.324901E-28  2.043615E-19  3.156091E-69  2.262813E-14  1.750713E-41  2.701984E-04  3.930834E-43  1.248634E-89  2.629055E-11  1.497421E-34  9.287906E-24  1.713895E-32  5.031549E-38  1.530124E-26  2.162677E-26  3.760968E-45  2.020717E-73  1.489360E-14  6.796260E-18  3.807256E+03  3.225356E-33  5.446615E-21  5.209415E-53  3.748108E-23  3.388646E-54  6.588208E-62  1.882095E-80  1.000000E-99  1.648594E-26  7.748006E-37  4.284741E-50  8.473177E-11  6.296801E-26  2.941164E-34  2.393582E-32  5.723363E-25  3.661364E-27  1.548501E-11  8.553057E-06  5.929734E-14  1.156144E-20  3.188006E+06  2.886529E-02  3.855052E-22  3.102001E-02  2.343242E-08  3.705833E+07  5.918942E-22  1.739923E-10  1.118433E+06  2.135750E-17  2.716974E-04  7.917877E-49  1.110701E-08  1.723285E-09  6.096053E+07  1.672325E-24  3.406043E+03  3.082730E-43  1.422036E-28  7.603088E+03  6.764457E+05  1.894130E-27  1.739057E+07  2.822710E-21  2.441548E-07  3.187567E-05  4.226826E-02  5.239173E-02  2.026801E+00  1.492777E+04
  1.770956E+00  3.419600E+00  7.334200E+02  5.682767E+13  3.043905E-24  1.525639E+10  4.675234E-15  9.990596E+09  3.069573E-18  6.086186E-38  3.888001E-38  3.387608E-53  1.202994E-56  8.996067E-07  2.222657E-06  7.347566E-02  3.167368E-04  2.210813E+05  3.873942E+07  3.199567E-06  2.286987E-21  1.303232E-20  2.050833E-18  1.066197E-04  9.459700E-25  2.172652E+00  1.927439E-15  3.294260E-26  6.029785E-18  3.938050E-15  4.895657E-17  1.629651E-07  1.403827E-10  1.324260E-28  2.043121E-19  3.155959E-69  2.262910E-14  1.751213E-41  2.701986E-04  3.930671E-43  1.248885E-89  2.629806E-11  1.497785E-34  9.290163E-24  1.714801E-32  5.036439E-38  1.529383E-26  2.161631E-26  3.758238E-45  2.020143E-73  1.489063E-14  6.796262E-18  3.807257E+03  3.224440E-33  5.446618E-21  5.207934E-53  3.746454E-23  3.386186E-54  6.583426E-62  1.880274E-80  1.000000E-99  1.648265E-26  7.744586E-37  4.281631E-50  8.471492E-11  6.299827E-26  2.943284E-34  2.394739E-32  5.727504E-25  3.664023E-27  1.548873E-11  8.555113E-06  5.931159E-14  1.156699E-20  3.187999E+06  2.885824E-02  3.854662E-22  3.101819E-02  2.342537E-08  3.704718E+07  5.916910E-22  1.739473E-10  1.117825E+06  2.135625E-17  2.716157E-04  7.915159E-49  1.110098E-08  1.722423E-09  6.093858E+07  1.671653E-24  3.403993E+03  3.080744E-43  1.422298E-28  7.598863E+03  6.759060E+05  1.892539E-27  1.737249E+07  2.821022E-21  2.440191E-07  3.185024E-05  4.224384E-02  5.240887E-02  2.027314E+00  1.492003E+04
  3.545378E+00  3.419601E+00  7.334200E+02  5.682768E+13  3.045380E-24  1.525641E+10  4.677499E-15  9.985781E+09  3.072545E-18  6.092079E-38  3.893648E-38  3.394170E-53  1.205907E-56  9.004777E-07  2.222661E-06  7.347579E-02  3.168902E-04  2.211884E+05  3.872079E+07  3.202665E-06  2.288098E-21  1.303865E-20  2.051831E-18  1.065683E-04  9.450583E-25  2.173704E+00  1.928372E-15  3.297449E-26  6.035623E-18  3.938052E-15  4.893299E-17  1.629652E-07  1.403150E-10  1.322984E-28  2.042136E-19  3.155695E-69  2.263103E-14  1.752210E-41  2.701990E-04  3.930346E-43  1.249385E-89  2.631302E-11  1.498511E-34  9.294662E-24  1.716606E-32  5.046194E-38  1.527909E-26  2.159548E-26  3.752806E-45  2.019000E-73  1.488472E-14  6.796267E-18  3.807259E+03  3.222615E-33  5.446623E-21  5.204986E-53  3.743160E-23  3.381292E-54  6.573911E-62  1.876651E-80  1.000000E-99  1.647611E-26  7.737778E-37  4.275442E-50  8.468137E-11  6.305859E-26  2.947512E-34  2.397045E-32  5.735760E-25  3.669325E-27  1.549615E-11  8.559212E-06  5.933999E-14  1.157807E-20  3.187986E+06  2.884421E-02  3.853882E-22  3.101454E-02  2.341131E-08  3.702494E+07  5.912861E-22  1.738577E-10  1.116616E+06  2.135373E-17  2.714527E-04  7.909744E-49  1.108897E-08  1.720705E-09  6.089481E+07  1.670311E-24  3.399907E+03  3.076788E-43  1.422818E-28  7.590442E+03  6.748313E+05  1.889370E-27  1.733650E+07  2.817657E-21  2.437487E-07  3.179960E-05  4.219517E-02  5.244303E-02  2.028337E+00  1.490462E+04
