 Teff =  2700.00  logg =  3.34  mixLengthPara =  0.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.00
         191
 
             z             p             T          n<H>            CS           CS2        C2K2N2       C2N2NA2       FE(OH)2           FEO           FEH            HK           KOH           NAH          NAOH            HS        K2O2H2       NA2O2H2         H2SO4           H2S            K+            KO           KO-            K2           MGS            SN           NA+           NAO          NAO-           NA2            SO           S2O           SO2           SIS            S8            H2            N2            O2            S2           FES            C+            N+            O+           CNO           TIO          TIO2           TIC          TIC2           TIS          TICL         TICL2         TICL4           TI+            S+           SI+           FE+           C3H           CA+          CAOH       CA(OH)2           CAO           CAS           CA2           CAH           TIH           LI+           LIH           LIO          LIOH          LICL          NACL           KCL          CACL         CACL2           HCL           CL+           CL-          MGCL         MGCL2        MG2CL4          FECL         FECL2          ALCL         ALCL2         ALCL3        AL2CL6          SICL         SICL2         SICL3         SICL4           H2-           H2+           HE+            VO           VO2
  3.465801E-03  3.419600E+00  7.334200E+02  5.682767E+13  6.541874E-04  1.752216E+00  1.898343E-17  4.429104E-86  1.397613E+08  3.344228E+00  6.304397E-01  5.913876E-01  4.028118E+03  2.234017E+02  7.292017E+03  1.151216E+03  8.155394E-07  5.778484E-05  2.381124E-30  7.454800E+08  1.264327E-02  1.792298E-12  1.625825E-20  6.299506E-07  5.650750E+03  1.583788E-08  1.325991E-06  1.174193E-10  5.414266E-19  1.143259E-02  7.799670E-04  1.256182E-06  1.961365E-04  1.675500E+06  3.804479E-43  2.840280E+13  1.921009E+09  4.025793E-18  1.538497E+02  1.954951E+06  8.282945E-84  7.229327E-95  1.485974E-86  8.004104E-18  7.641627E+00  2.195698E+04  1.402349E-23  7.200072E-31  7.184567E-02  3.111357E-08  1.727091E-04  2.659351E-14  9.488129E-34  5.669501E-52  1.773822E-46  1.089416E-23  1.024781E-24  4.354939E-16  3.008436E+05  1.198504E+08  7.488818E-07  4.856183E+02  1.691445E-12  1.614030E-03  7.780239E-15  5.781643E-17  1.254456E-04  8.004441E-16  2.401759E+01  6.133797E+02  6.431655E+06  3.251561E+06  3.373207E+03  4.133075E+06  2.676628E+03  1.968703E-74  6.745477E-05  4.564520E+01  1.495625E+03  2.810791E-08  1.810365E-01  4.733985E+03  1.952825E+03  1.383481E-03  2.997322E-06  1.143953E-29  3.348422E-16  1.786892E-13  2.089016E-21  5.406747E-27  4.668784E-16  3.851770E-61  1.000000E-99  1.120457E+02  4.835698E+05
  1.039714E-02  3.419600E+00  7.334200E+02  5.682767E+13  6.541860E-04  1.752205E+00  1.898353E-17  4.429121E-86  1.397593E+08  3.344188E+00  6.304334E-01  5.913880E-01  4.028113E+03  2.234018E+02  7.292003E+03  1.151212E+03  8.155374E-07  5.778463E-05  2.381097E-30  7.454770E+08  1.264327E-02  1.792296E-12  1.625824E-20  6.299514E-07  5.650703E+03  1.583782E-08  1.325991E-06  1.174191E-10  5.414258E-19  1.143259E-02  7.799624E-04  1.256169E-06  1.961350E-04  1.675496E+06  3.804355E-43  2.840280E+13  1.921009E+09  4.025778E-18  1.538485E+02  1.954924E+06  8.282958E-84  7.229325E-95  1.485971E-86  8.004104E-18  7.641642E+00  2.195698E+04  1.402357E-23  7.200127E-31  7.184565E-02  3.111365E-08  1.727093E-04  2.659348E-14  9.488162E-34  5.669477E-52  1.773825E-46  1.089405E-23  1.024787E-24  4.354954E-16  3.008441E+05  1.198504E+08  7.488830E-07  4.856181E+02  1.691457E-12  1.614035E-03  7.780268E-15  5.781649E-17  1.254458E-04  8.004436E-16  2.401758E+01  6.133797E+02  6.431648E+06  3.251559E+06  3.373216E+03  4.133079E+06  2.676624E+03  1.968700E-74  6.745471E-05  4.564495E+01  1.495614E+03  2.810752E-08  1.810344E-01  4.733927E+03  1.952821E+03  1.383477E-03  2.997309E-06  1.143943E-29  3.348424E-16  1.786891E-13  2.089012E-21  5.406730E-27  4.668785E-16  3.851769E-61  1.000000E-99  1.120460E+02  4.835698E+05
  2.425981E-02  3.419600E+00  7.334200E+02  5.682767E+13  6.541832E-04  1.752183E+00  1.898373E-17  4.429156E-86  1.397555E+08  3.344109E+00  6.304209E-01  5.913888E-01  4.028103E+03  2.234018E+02  7.291977E+03  1.151202E+03  8.155333E-07  5.778421E-05  2.381041E-30  7.454709E+08  1.264328E-02  1.792291E-12  1.625821E-20  6.299531E-07  5.650608E+03  1.583769E-08  1.325990E-06  1.174186E-10  5.414242E-19  1.143259E-02  7.799531E-04  1.256144E-06  1.961319E-04  1.675489E+06  3.804107E-43  2.840280E+13  1.921009E+09  4.025747E-18  1.538460E+02  1.954869E+06  8.282984E-84  7.229320E-95  1.485965E-86  8.004104E-18  7.641670E+00  2.195697E+04  1.402373E-23  7.200236E-31  7.184560E-02  3.111381E-08  1.727098E-04  2.659341E-14  9.488228E-34  5.669427E-52  1.773830E-46  1.089383E-23  1.024799E-24  4.354982E-16  3.008452E+05  1.198503E+08  7.488856E-07  4.856176E+02  1.691481E-12  1.614047E-03  7.780327E-15  5.781660E-17  1.254461E-04  8.004426E-16  2.401755E+01  6.133797E+02  6.431633E+06  3.251555E+06  3.373232E+03  4.133089E+06  2.676618E+03  1.968694E-74  6.745458E-05  4.564444E+01  1.495594E+03  2.810676E-08  1.810304E-01  4.733809E+03  1.952815E+03  1.383469E-03  2.997284E-06  1.143924E-29  3.348429E-16  1.786889E-13  2.089004E-21  5.406697E-27  4.668788E-16  3.851766E-61  1.000000E-99  1.120464E+02  4.835698E+05
  5.198515E-02  3.419600E+00  7.334200E+02  5.682767E+13  6.541775E-04  1.752139E+00  1.898411E-17  4.429227E-86  1.397478E+08  3.343951E+00  6.303959E-01  5.913904E-01  4.028083E+03  2.234019E+02  7.291924E+03  1.151184E+03  8.155252E-07  5.778337E-05  2.380930E-30  7.454588E+08  1.264330E-02  1.792283E-12  1.625815E-20  6.299564E-07  5.650417E+03  1.583743E-08  1.325989E-06  1.174178E-10  5.414210E-19  1.143260E-02  7.799345E-04  1.256093E-06  1.961257E-04  1.675474E+06  3.803612E-43  2.840280E+13  1.921009E+09  4.025686E-18  1.538410E+02  1.954760E+06  8.283036E-84  7.229311E-95  1.485951E-86  8.004105E-18  7.641728E+00  2.195697E+04  1.402405E-23  7.200455E-31  7.184552E-02  3.111412E-08  1.727107E-04  2.659329E-14  9.488358E-34  5.669327E-52  1.773841E-46  1.089338E-23  1.024822E-24  4.355039E-16  3.008472E+05  1.198503E+08  7.488907E-07  4.856167E+02  1.691530E-12  1.614070E-03  7.780445E-15  5.781681E-17  1.254468E-04  8.004405E-16  2.401749E+01  6.133798E+02  6.431603E+06  3.251548E+06  3.373264E+03  4.133108E+06  2.676605E+03  1.968681E-74  6.745434E-05  4.564342E+01  1.495553E+03  2.810522E-08  1.810223E-01  4.733575E+03  1.952802E+03  1.383453E-03  2.997234E-06  1.143886E-29  3.348437E-16  1.786884E-13  2.088989E-21  5.406631E-27  4.668794E-16  3.851761E-61  1.000000E-99  1.120472E+02  4.835698E+05
  1.074358E-01  3.419600E+00  7.334200E+02  5.682767E+13  6.541662E-04  1.752052E+00  1.898489E-17  4.429368E-86  1.397325E+08  3.343635E+00  6.303459E-01  5.913935E-01  4.028044E+03  2.234020E+02  7.291818E+03  1.151146E+03  8.155091E-07  5.778169E-05  2.380708E-30  7.454346E+08  1.264333E-02  1.792265E-12  1.625803E-20  6.299631E-07  5.650037E+03  1.583692E-08  1.325986E-06  1.174161E-10  5.414146E-19  1.143261E-02  7.798973E-04  1.255993E-06  1.961134E-04  1.675445E+06  3.802623E-43  2.840280E+13  1.921009E+09  4.025564E-18  1.538309E+02  1.954541E+06  8.283140E-84  7.229292E-95  1.485925E-86  8.004105E-18  7.641843E+00  2.195697E+04  1.402468E-23  7.200892E-31  7.184536E-02  3.111476E-08  1.727125E-04  2.659304E-14  9.488620E-34  5.669128E-52  1.773863E-46  1.089249E-23  1.024869E-24  4.355154E-16  3.008514E+05  1.198501E+08  7.489010E-07  4.856150E+02  1.691628E-12  1.614117E-03  7.780680E-15  5.781724E-17  1.254480E-04  8.004364E-16  2.401736E+01  6.133799E+02  6.431544E+06  3.251533E+06  3.373328E+03  4.133145E+06  2.676578E+03  1.968657E-74  6.745385E-05  4.564138E+01  1.495472E+03  2.810215E-08  1.810062E-01  4.733106E+03  1.952775E+03  1.383420E-03  2.997135E-06  1.143810E-29  3.348455E-16  1.786876E-13  2.088959E-21  5.406499E-27  4.668807E-16  3.851751E-61  1.000000E-99  1.120489E+02  4.835698E+05
  2.183372E-01  3.419600E+00  7.334200E+02  5.682767E+13  6.541436E-04  1.751877E+00  1.898645E-17  4.429649E-86  1.397019E+08  3.343003E+00  6.302460E-01  5.913997E-01  4.027964E+03  2.234023E+02  7.291606E+03  1.151071E+03  8.154768E-07  5.777833E-05  2.380264E-30  7.453861E+08  1.264340E-02  1.792229E-12  1.625780E-20  6.299764E-07  5.649276E+03  1.583589E-08  1.325981E-06  1.174127E-10  5.414018E-19  1.143264E-02  7.798229E-04  1.255791E-06  1.960887E-04  1.675386E+06  3.800644E-43  2.840280E+13  1.921009E+09  4.025319E-18  1.538109E+02  1.954104E+06  8.283349E-84  7.229254E-95  1.485872E-86  8.004106E-18  7.642072E+00  2.195696E+04  1.402596E-23  7.201766E-31  7.184503E-02  3.111602E-08  1.727161E-04  2.659255E-14  9.489143E-34  5.668729E-52  1.773907E-46  1.089070E-23  1.024963E-24  4.355382E-16  3.008596E+05  1.198497E+08  7.489215E-07  4.856114E+02  1.691824E-12  1.614210E-03  7.781151E-15  5.781810E-17  1.254506E-04  8.004283E-16  2.401712E+01  6.133802E+02  6.431425E+06  3.251503E+06  3.373456E+03  4.133221E+06  2.676525E+03  1.968608E-74  6.745288E-05  4.563730E+01  1.495308E+03  2.809602E-08  1.809739E-01  4.732168E+03  1.952722E+03  1.383355E-03  2.996935E-06  1.143658E-29  3.348489E-16  1.786859E-13  2.088898E-21  5.406235E-27  4.668832E-16  3.851731E-61  1.000000E-99  1.120523E+02  4.835698E+05
  4.401399E-01  3.419600E+00  7.334200E+02  5.682767E+13  6.540984E-04  1.751528E+00  1.898957E-17  4.430212E-86  1.396406E+08  3.341741E+00  6.300462E-01  5.914123E-01  4.027804E+03  2.234029E+02  7.291182E+03  1.150922E+03  8.154122E-07  5.777161E-05  2.379377E-30  7.452892E+08  1.264353E-02  1.792158E-12  1.625733E-20  6.300031E-07  5.647754E+03  1.583383E-08  1.325970E-06  1.174059E-10  5.413761E-19  1.143270E-02  7.796741E-04  1.255388E-06  1.960394E-04  1.675269E+06  3.796692E-43  2.840280E+13  1.921009E+09  4.024831E-18  1.537709E+02  1.953231E+06  8.283766E-84  7.229178E-95  1.485766E-86  8.004108E-18  7.642532E+00  2.195695E+04  1.402851E-23  7.203514E-31  7.184436E-02  3.111855E-08  1.727234E-04  2.659156E-14  9.490189E-34  5.667932E-52  1.773995E-46  1.088713E-23  1.025150E-24  4.355839E-16  3.008761E+05  1.198490E+08  7.489625E-07  4.856043E+02  1.692214E-12  1.614397E-03  7.782091E-15  5.781981E-17  1.254556E-04  8.004119E-16  2.401663E+01  6.133807E+02  6.431188E+06  3.251443E+06  3.373712E+03  4.133372E+06  2.676420E+03  1.968509E-74  6.745094E-05  4.562914E+01  1.494982E+03  2.808376E-08  1.809094E-01  4.730295E+03  1.952616E+03  1.383226E-03  2.996536E-06  1.143353E-29  3.348559E-16  1.786826E-13  2.088776E-21  5.405707E-27  4.668882E-16  3.851690E-61  1.000000E-99  1.120592E+02  4.835698E+05
  8.837454E-01  3.419600E+00  7.334200E+02  5.682767E+13  6.540080E-04  1.750831E+00  1.899579E-17  4.431337E-86  1.395183E+08  3.339219E+00  6.296472E-01  5.914373E-01  4.027486E+03  2.234041E+02  7.290336E+03  1.150623E+03  8.152833E-07  5.775819E-05  2.377604E-30  7.450956E+08  1.264379E-02  1.792017E-12  1.625639E-20  6.300563E-07  5.644715E+03  1.582971E-08  1.325949E-06  1.173922E-10  5.413248E-19  1.143282E-02  7.793770E-04  1.254584E-06  1.959409E-04  1.675035E+06  3.788806E-43  2.840280E+13  1.921009E+09  4.023854E-18  1.536910E+02  1.951486E+06  8.284600E-84  7.229026E-95  1.485555E-86  8.004111E-18  7.643450E+00  2.195692E+04  1.403360E-23  7.207007E-31  7.184304E-02  3.112361E-08  1.727378E-04  2.658959E-14  9.492279E-34  5.666339E-52  1.774171E-46  1.088001E-23  1.025524E-24  4.356751E-16  3.009090E+05  1.198476E+08  7.490444E-07  4.855901E+02  1.692995E-12  1.614769E-03  7.783971E-15  5.782324E-17  1.254657E-04  8.003793E-16  2.401565E+01  6.133816E+02  6.430714E+06  3.251324E+06  3.374224E+03  4.133673E+06  2.676209E+03  1.968312E-74  6.744706E-05  4.561284E+01  1.494330E+03  2.805927E-08  1.807806E-01  4.726553E+03  1.952405E+03  1.382967E-03  2.995739E-06  1.142745E-29  3.348698E-16  1.786759E-13  2.088533E-21  5.404652E-27  4.668982E-16  3.851609E-61  1.000000E-99  1.120728E+02  4.835699E+05
  1.770956E+00  3.419600E+00  7.334200E+02  5.682767E+13  6.538274E-04  1.749439E+00  1.900822E-17  4.433584E-86  1.392745E+08  3.334190E+00  6.288512E-01  5.914872E-01  4.026851E+03  2.234064E+02  7.288646E+03  1.150026E+03  8.150260E-07  5.773142E-05  2.374071E-30  7.447091E+08  1.264432E-02  1.791734E-12  1.625452E-20  6.301625E-07  5.638650E+03  1.582150E-08  1.325906E-06  1.173650E-10  5.412224E-19  1.143306E-02  7.787840E-04  1.252979E-06  1.957444E-04  1.674568E+06  3.773107E-43  2.840281E+13  1.921009E+09  4.021907E-18  1.535316E+02  1.948008E+06  8.286264E-84  7.228724E-95  1.485133E-86  8.004117E-18  7.645282E+00  2.195687E+04  1.404378E-23  7.213984E-31  7.184037E-02  3.113371E-08  1.727666E-04  2.658566E-14  9.496453E-34  5.663160E-52  1.774523E-46  1.086579E-23  1.026272E-24  4.358573E-16  3.009747E+05  1.198447E+08  7.492080E-07  4.855617E+02  1.694555E-12  1.615513E-03  7.787724E-15  5.783008E-17  1.254859E-04  8.003141E-16  2.401369E+01  6.133836E+02  6.429768E+06  3.251086E+06  3.375247E+03  4.134274E+06  2.675788E+03  1.967920E-74  6.743932E-05  4.558031E+01  1.493029E+03  2.801044E-08  1.805236E-01  4.719091E+03  1.951983E+03  1.382450E-03  2.994148E-06  1.141531E-29  3.348975E-16  1.786626E-13  2.088049E-21  5.402546E-27  4.669182E-16  3.851447E-61  1.000000E-99  1.120999E+02  4.835699E+05
  3.545378E+00  3.419601E+00  7.334200E+02  5.682768E+13  6.534671E-04  1.746667E+00  1.903301E-17  4.438062E-86  1.387898E+08  3.324190E+00  6.272678E-01  5.915867E-01  4.025585E+03  2.234110E+02  7.285282E+03  1.148837E+03  8.145137E-07  5.767813E-05  2.367044E-30  7.439390E+08  1.264538E-02  1.791171E-12  1.625079E-20  6.303742E-07  5.626574E+03  1.580514E-08  1.325822E-06  1.173109E-10  5.410185E-19  1.143353E-02  7.776034E-04  1.249785E-06  1.953534E-04  1.673636E+06  3.741996E-43  2.840282E+13  1.921010E+09  4.018030E-18  1.532141E+02  1.941092E+06  8.289581E-84  7.228122E-95  1.484292E-86  8.004130E-18  7.648934E+00  2.195676E+04  1.406407E-23  7.227902E-31  7.183497E-02  3.115384E-08  1.728241E-04  2.657782E-14  9.504772E-34  5.656828E-52  1.775222E-46  1.083752E-23  1.027763E-24  4.362203E-16  3.011056E+05  1.198390E+08  7.495338E-07  4.855044E+02  1.697666E-12  1.616996E-03  7.795206E-15  5.784370E-17  1.255261E-04  8.001844E-16  2.400980E+01  6.133875E+02  6.427883E+06  3.250612E+06  3.377284E+03  4.135472E+06  2.674950E+03  1.967138E-74  6.742390E-05  4.551552E+01  1.490439E+03  2.791333E-08  1.800125E-01  4.704255E+03  1.951140E+03  1.381420E-03  2.990979E-06  1.139116E-29  3.349528E-16  1.786360E-13  2.087083E-21  5.398355E-27  4.669579E-16  3.851125E-61  1.000000E-99  1.121540E+02  4.835699E+05
